83,29,30
83,30
83,30
83,30
30
30
24,61,63
24,63
24
24
99,82,51,24,42,74,63
82,24,42,74,63
24,74,63
24,74,63
24,74,63
24,63
50,42,43,60,82,62,31
82,31
82,31
31
31
31
31
51,90,21,24,58,74,63
24,63
99,3,74,60,45,30
60
60
60
60,99,44,30
30
30
30
30
30
30
30
30
30
30
30
30
82,30,87
30,87
30
30
30
30
30
30
30
30
30
32,81,72,74,60,79
32,79
32
72,36,94,40,52,59,45,30,31
72,52,30,31
30,31
30,31
30,31
32,64,50,85,42,59,60,82
50,85,42,82
42,82
82
64,74,76,82,87
74
82,74,72,44,42,60,29,78,93
82,29,93
29,93
93
93
93
83,87,60,29,30,45
87,60,29,30
60
60
60
60
60
60
60
60
60
60
60
32,42,87,76,82,50,21,55,26,59,60,85
76,82,50,21,59
76,50
76
81,67,30,42,93,78
81,67,30,93,78
67,93,78
67
67
51,90,24,42,74,62
24
24
24
24
24
24
80,40,68,78,87,24,43,44,30
68,24
68
59,82,51
32,81,67,40,96,43,29,78,93
67,40,43
67
67
67
67
40,51,82,43,77
51,82,43
51,82,43
43
10,43,82,61
43
43
43
64,20,24,84,42,63
24,84,42
24,84,42
42
42
42
42
42
10,43,44
10
10
10
10
78,87,30,95,29,62,61
87,29,61
29
29
29
29
80,99,30
80,99,30
30
72,81,99,45
72
50,53,73,43,45,62,31
53,62,31
53,62
53,62
53
42,60
42
42
42
32,96,83,40,74,72,82,51,54,24,26,59,42
82,51
51
32,51,65,71,40,74,43,45,83,24,26,90
51,45
93,94,87,24,29,78,61
93,87
97,40,42,43,81,82,83,30,87,27,94,95
40,95
40
24,73,44,53
24
24
18,83,36,82,87,73,11,60,29,30,95
83,82,87,29,95
83,82,29
83
83
96,50,11,82,87,74,43,29
96,82,87,29
96,29
29
29
56,82,51,87,24,90,60,29
87,24,90,29
87,24
83,26,27,30,95
27,95
27
51,30,95,27,45,62,85
30,95,27
30,27
30,27
30,27
30,27
30,27
27
72,82,67,81,40,42
82,40,42
82,42
42
40,81,42,43,30
40,81,43,30
40,43
40
40
40
72,33,42,68,76
42,68,76
42,68,76
42,68
42,68
42
42
82,36,55,76,58,43,60,74,77
55,58,74
58
32,82,51,40,42,43,62
82,51,42,43
82,51,42
42
82,68,8,36,42,76
68,8,42
8,42
50,24,76,74,43,60,82,63
76,74
76,74
76
82,98,69,55,76,58,43,44,61,47
82,98,76,58,43,61,47
58,43,61,47
58,43,61,47
43
96,50,51,72,44,31
50,72,31
72,96,36,29
72,96,42,51,50
72,50
72
72
72
51,38,40,42,44,46
42,44
0,36,78,26,27,44,29,30,45
0,36,78,26,27,29,30
78,27
78,27
78,27
27
27
27
43,67,52,81,42,59
43,52,42,59
43,52,42
43,52
52
43,36,78,31
43,36
43
32,76,82,69,40,60,58,43,12
32
32
82,76,53,86
82
83,14,40,43,60,29,30,53
29,30,53
30
30
30
18,82,53,87,63,60,61,78,29
87,29
32,1,82,36,71,79,43,93,78,31
32,36,31
36
36
36
32,67,38,40,42,59,92,62
40,42,59
40,59
40
40
40
40
40
40
40
96,50,66,82,60,27,44,29,78,47
82,60,29,78
29
29
40,42,59,60,61,62,79
40,42,59
40,59
42,50,78,47
42,50,47
42
42
42
0,96,11,36,94,88,43,29,78
96,11,36,88,29
29
32,33,82,54,40,43
32,82,40,43
32,40
32
32
32,59,82,51,22,24,74,43,63
82,24,74,43,63
82,24,74,63
74,63
63
63
63
97,82,36,37,87,68,26,62,76,45,30
97,82,37,87,62,30
97,82,87,30
97,87,30
97
97
97,83,36,37,87,72,30,62
97,83,36,87,30
97,87,30
30
32,82,85,54,59,63
85,59
59
59
82,30,42,29,62,45
30,29,62,45
30,29,45
29,45
29,45
45
32,82,99,85,71,58,43,74,47
82,43,74
82,43
0,99,66,83,36,87,68,29,30
0,66,83,36,29,30
0,83,36,29
0,83,36,29
0,83,36,29
83,29
18,78,87
32,82,43,86,42,59,74,62,63
82,42,59
82,59
40,60,42,44,50
40,60,44,50
60,50
24,97,36,78,87
78,87
78,87
78
78
50,82,30,87,44,60,78,62
30,87,44,78,62
30,87,44,78,62
30,44,78
30,44,78
30
82,43,44,61,78
82,61
61
61
61
61
61
61
61
24,32,74,59,63
32,59
32,59
32
40,42,44,30
40,42,30
42,30
32,72,82,38,40,74,59,60,47
32,72,82,38,74,59,60
59,60
59,60
59
89,83,97,30,87
83,97,30
83,97,30
32,49,82,59,36,56,40,42,43
32,59,40
32,59,40
59
59
59
59
59
82,85,55,57,42,76,30,47
57,76,47
57,76,47
57,47
32,99,82,3,53,72,74,59
32,82,72,59
32,72,59
32,72,59
32,72,59
72,59
72,59
59
82,40,73,42,59,76
40,76
40,76
40
40
40,57,42,68,30
40,57,42,30
57,30
57,30
87,40,76,26,60,42,29
87,40,26,60,42
26,42
26,42
42
42
97,82,51,46,87,61,78
78
78
82,78
35,83,52,87,30,95
83,30
30
32,40,31,74,43,44,51,24,90,59,60,63
32,31,43,59
32,43,59
43,59
43,59
43,59
43,59
43,59
43,59
43,59
43
87
84,82,74,69,24,73,42,43,76,58,47
82,74,24,42,43,76,58,47
82,24,42,58,47
82,42,58
82,44,30
82,30
82,30
82,30
30
30
30
97,82,62,45,30
82,30
1,68,36,44,30,79
30
30
82,85,8,42,43,76
82,85,42
82,85
85
85
85
85
85
85
96,82,51,87,72,26,83,30
82,87,26
96,82,36,69,55,24,76,58,43,60,47
82,55,76,58,43,60,47
82,76,43,60
82,76,60
60
82,51,5,72,25,26,30,53
30
30
64,3,55,73,58,76,74,15
55,73,58,76,15
58,76
76
50,82,53,56,60,26,44,61
82,26,61
26,61
61
61
80,51,24,42,76,90,63
24,42,76
24
24,65,99,38
24,38
24,38
24,38
24
24
65,82,51,24,74,76,63
82,51,24,76,63
24,76
24
38,14
38,14
38
38
38
94,30,59,78,45,62,31
94,30,62,31
30
30
30
82,85,38,26,44,30
85,38,26,30
38,26,30
38,26,30
26,30
26,30
30
82,67,53,55,26,76,74,31
82,55,26,74,31
82,26,31
26,31
26,31
31
88,99,83,78,87
99,87
99,87
99,87
81,82,36,30,61,78,77
61,77
61,77
61
61
61
61
61
61
61
61
59,62,72,89,26,43,60,42,30,31
72,26,60,42,31
60
60
24,64,82,76,84
76,84
51,46,42,44,78,79
51,42,78
52,24,42,43,76,74
42
42
42
56,23,24,42,27,76,45,63
24,42
24,42
24,42
24
82,51,24,26,74,63
51,24,74,63
74,63
74,63
74
74
74
74
74
88,82,60,78,87
82,60,87
82,51,5,30
30
30
30
24,42,76,74
24,76,74
64,82,86,55,73,76,61,15
73,15
73,15
73,15
32,50,59,74,24,42,43,44,61
32,59,74,42,43
59,74
59
82,99,42,29,78,45
78,45
16,66,99,82,85,76,29,78
82,78
82
82
82
82
82
96,82,83,36,74,40,42,43,29
96
96
96
97,66,36,77,78,16,82,87,24,28,61,30
97,66,36,16,82,24,61,30
61,30
61,30
61,30
61
61
61
61
61
61
99,7,44,43,76,78,50,51,52,85,60,29
43,78,50
78
78
82,87,25,60,29,78
87,60,29
29
18,74,36,21,66,78,29,30,85
36,66,78,29,30
36,66,78
36
51,11,21,87,43,60,29,46
51,11,87,29
96,50,51,61,42,43,44,29,30,31
96,51,43,44,29
96
40,54
40
82,40,42,43,60,79
40,60
60
60
42,54,29,30,45
54,29,30
54,30
54,30
54,30
54,30
54,30
54,30
54
54
54
54
54
72,50,82,62,30
72,50,82,30
72,82
72,82
72
72,42,43
43
32,82,52,54,40,60,42,44,74,62
32,82,40
32,82
32,82
32
32
32
32
32
82,68,40,42,77,94
82,68,42
82,42
32,72,82,24,58,76,74
82,58,76
82,76
82
76,82,74,55,24,73,42,44,58,47
76,55,42,47
76
0,97,83,51,36,37,40,29,62
0,97,36,29
0,36,29
0,36,29
68,61,31
68,61,31
31
82,38,74,44,30,31
82,38,30,31
82,31
82,31
32,68,82,36,97,57,42,60,31
32,36,42,31
31
31
31
31
31
31
31
31
32,53,78,77,30,31
53,78,77,31
53,77,31
53,77,31
77,31
77
77
77
32,50,43,84,76,74,59,44,82
32,50,43,76,82
32,43,76
32,43,76
76
32,82,19,85,73,42,59,58,15
82,58
82,58
82,58
76,50,55,73,58,59,60,42,47
76,50,55,58,59
76,50,55,58
76,50
76
0,96,34,83,36,66,77,73,29,30,61
0,83,36,73,29,30
83,29,30
83
83
76,42,82,52,50
42,50
42,60,78,87
60
60
1,36,65,40,45,78,79,82,55,24,68,30
1,36,45,79,82,24,30
24,30
24
82,5,30,45
45
45
82,67,84,60,42,76,78
42,76
42,76
42,76
76
50,74,53,24,42,59,76,61
74,24,42,76
24,42,76
42,76
42,76
0,36,44,42,11,76,18,50,83,82,87,26,60,29
0,36,18,50,82,87,60,29
36,18,82,87,60,29
87,60,29
87,60,29
60
30,42,27,44,62,95
30,27,95
30,95
30,95
30
30
30
30
30
32,50,59,84,56,74,43,76,82,78
32,50,59,43,82
89,44,30
89,30
82,62,26,27,44,42,30
62,27,42,30
62,27
0,96,66,36,40,78,56,68,27,60,29,30
0,96,36,78,27,29
0,36,27,29
0,36,27,29
36,27,29
36,27,29
29
29
29
97,36,37,42,43,78,93,82,83,30,29,62,31
97,43,93,82,83,30,62,31
43,82,30,31
43,30,31
43,30
43
82,51,93,87,89,42,43,29,30,45
82,93,87,30
87,30
30
30
30
30
30
30
30
65,83,87,24,60,30
83,24,60,30
83,24,60,30
83,24,60,30
24,60
24,60
24,60
50,83,82,78,87,72,44,29,30,45
82,29,30,45
29,30,45
29,30
29
29
24,42,82,77,30
42,82,30
42,82,30
30
30
30
30
30
32,82,43,62,71
32,43
32
32
32
40,50,43,52
52
52
59,62,54
59,62
62
42,43,52
42,43,52
32,67,35,52,54,42,43
42,43
42,43
42,43
42,43
65,82,99,24,42,60
82,99,24
82
80,65,82,24,74,76
80,24,74,76
80,24,76
24,76
83,62,40,42,43,60,30
42,60,30
42,60
42
42
42
42
42
42
24,74,76,63
74,76
74
74
72,82,84,38,24,26,59,74,63
72,38,24,74,63
72,24,74
72,24,74
72,24
24
24
81,67,51,78,6,87,40,42,43,60,30
81,67,51,6,42,30
81,67
81,67
81,67
67
67
67
67
82,68,86,44,60,30,31
82,30
82,30
82
60,30
60
51,82,43,77,14
51,82,77
77
77
96,50,66,85,68,43,60,29,30,61
50,43,60,29
50,43,60,29
60
60
60
60
60
60
80,59,74,43,82
59,74,43,82
59,74
59
59
59
59
80,81,52,78,72,74,45,30
81,52,45,30
52,45,30
52,30
52,30
52
52
52
52
52
52
72,82,36,29,30
82,30
30
30
72,43,78,81,40,42,59,93,30
43,78,40,30
43
43
96,40,9,42,43,44,78,93,87,56,60,29,30
43,44,87,30
43
40,82,74,87,24,42,76,58,30
40,82,76
40,82,76
40,82,76
40
40
59,51,74,90,24,26,43,42
59,74,24,42
59,24
59,24
59
59
32,34,40,42,44,72,82,55,24,26,59,74,30,31
32,24,26,59,74,30,31
32,59,74
32
40,82,51,59,87,24,26,43,42,31
40,82,24,26,43
42,82,38
42,38
42
24,43
78,59,44,62,30
62
62
62
62
62
40,72,42,44,82
40,72,42,44
40,44
44
82,87,44,42,59,60,62
42,60,62
42
42
42
42
42
42
42
57,42,82,30,81
57,42,82,30
57,82,30
57
57
57
65,83,99,74,76,82,51,24,90,60,26,63
83,74,82,51,24,90,26,63
83,82,24
24
80,56,82,23,24,73,63
24
24
24
24
24
24
82,51,87,57,74,46,63
82,87,63
63
82,51,68,22,24,42,76,63
51,24,42,76,63
76,63
76,63
35,36,38,72,42,44,77
35,36,42
35,36,42
35
